study_ID,companion_Type,event_Type,event_Actuator,event_Receiver,time_Seconds,score
0,2,BUFF,COMPANION,PLAYER_ENEMY,7,-
0,2,NERF,PLAYER,PLAYER_ENEMY,9,-
0,2,BUFF,COMPANION,PLAYER_ENEMY,16,-
0,2,NERF,COMPANION,PLAYER_ENEMY,26,-
0,2,BUFF,COMPANION,PLAYER_ENEMY,36,-
0,2,SEC_ATTACK,PLAYER,PLAYER_ENEMY,42,-
0,2,BUFF,COMPANION,PLAYER_ENEMY,45,-
0,2,SEC_ATTACK,COMPANION,COMPANION_ENEMY,48,-
0,2,NERF,PLAYER,PLAYER_ENEMY,48,-
0,2,SEC_ATTACK,PLAYER,PLAYER_ENEMY,51,-
0,2,BUFF,COMPANION,PLAYER_ENEMY,55,-
0,2,SEC_ATTACK,COMPANION,COMPANION_ENEMY,64,-
0,2,NERF,PLAYER,PLAYER_ENEMY,74,-
0,2,SEC_ATTACK,PLAYER,PLAYER_ENEMY,75,-
0,2,SEC_ATTACK,COMPANION,COMPANION_ENEMY,76,-
0,2,SEC_ATTACK,COMPANION,COMPANION_ENEMY,86,-
0,2,SEC_ATTACK,COMPANION,COMPANION_ENEMY,91,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,94,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,99,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,103,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,106,-
0,2,SEC_ATTACK,COMPANION,COMPANION_ENEMY,106,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,109,-
0,2,SEC_ATTACK,COMPANION,COMPANION_ENEMY,111,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,113,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,116,-
0,2,SEC_ATTACK,COMPANION,COMPANION_ENEMY,118,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,120,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,123,-
0,2,SEC_ATTACK,COMPANION,COMPANION_ENEMY,123,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,126,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,129,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,133,-
0,2,SEC_ATTACK,COMPANION,COMPANION_ENEMY,135,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,136,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,139,-
0,2,SEC_ATTACK,COMPANION,COMPANION_ENEMY,140,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,143,-
0,2,SEC_ATTACK,COMPANION,COMPANION_ENEMY,145,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,147,-
0,2,SEC_ATTACK,COMPANION,COMPANION_ENEMY,149,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,150,-
0,2,SEC_ATTACK,COMPANION,COMPANION_ENEMY,161,-
0,2,DEATH,PLAYER_ENEMY,PLAYER,172,-
0,2,SEC_ATTACK,COMPANION,COMPANION_ENEMY,172,-
0,2,FINAL,-,-,180,2404
